"Condition","Model","Pathway","Score"
"KD","Claude","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS",110.117794082257
"KD","Claude","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR",138.651156769724
"KD","Claude","REACTOME_ECM_PROTEOGLYCANS",46.0011840497888
"KD","Claude","REACTOME_ELASTIC_FIBRE_FORMATION",-46.9771254294785
"KD","Claude","REACTOME_ESR_MEDIATED_SIGNALING",72.0080990903343
"KD","Claude","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",101.109465409994
"KD","Claude","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING",93.699853263606
"KD","Claude","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",178.964291302936
"KD","Claude","REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",57.3610194484161
"KD","Claude","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",139.256393375138
"KD","Claude","REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",215.668838515242
"KD","Claude","REACTOME_FOXO_MEDIATED_TRANSCRIPTION",-94.8575514464663
"KD","Claude","REACTOME_GASTRULATION",-95.3631878372552
"KD","Claude","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",84.6185290714005
"KD","Claude","REACTOME_GPCR_LIGAND_BINDING",146.014295715616
"KD","Claude","REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING",192.065306657432
"KD","Claude","REACTOME_G_ALPHA_I_SIGNALLING_EVENTS",141.107818138618
"KD","Claude","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS",59.4222460591437
"KD","Claude","REACTOME_HEMOSTASIS",143.078353045196
"KD","Claude","REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1",147.47228479475
"KD","Claude","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",70.9815081132081
"KD","Claude","REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING",241.346780172133
"KD","Claude","REACTOME_INFECTIOUS_DISEASE",160.573087565816
"KD","Claude","REACTOME_INFLAMMASOMES",183.388484869252
"KD","Claude","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",98.4743723972244
"KD","Claude","REACTOME_INNATE_IMMUNE_SYSTEM",130.442163801825
"KD","Claude","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",171.611156212079
"KD","Claude","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",199.258132197372
"KD","Claude","REACTOME_INTERFERON_GAMMA_SIGNALING",177.643213613683
"KD","Claude","REACTOME_INTERFERON_SIGNALING",177.882239819848
"KD","Claude","REACTOME_INTERLEUKIN_10_SIGNALING",248.959935268596
"KD","Claude","REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING",202.64417522198
"KD","Claude","REACTOME_INTERLEUKIN_12_SIGNALING",210.785555648352
"KD","Claude","REACTOME_INTERLEUKIN_17_SIGNALING",126.659222543485
"KD","Claude","REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING",169.149557341197
"KD","Claude","REACTOME_INTERLEUKIN_1_SIGNALING",171.71931041231
"KD","Claude","REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING",216.611137781177
"KD","Claude","REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING",216.30663406559
"KD","Claude","REACTOME_INTERLEUKIN_35_SIGNALLING",232.156210029956
"KD","Claude","REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING",216.974876684591
"KD","Claude","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",189.799324778513
"KD","Claude","REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING",254.995648925815
"KD","Claude","REACTOME_INTERLEUKIN_7_SIGNALING",137.89533810142
"KD","Claude","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS",108.063140505742
"KD","Claude","REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",101.151939937598
"KD","Claude","REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",192.492456218203
"KD","Claude","REACTOME_IRAK4_DEFICIENCY_TLR2_4",241.606511429754
"KD","Claude","REACTOME_ISG15_ANTIVIRAL_MECHANISM",228.425060863911
"KD","Claude","REACTOME_KEAP1_NFE2L2_PATHWAY",58.499782078749
"KD","Claude","REACTOME_L1CAM_INTERACTIONS",1.06413798390713
"KD","Claude","REACTOME_LEISHMANIA_INFECTION",182.399186444899
"KD","Claude","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",172.055876300685
"KD","Claude","REACTOME_MEMBRANE_TRAFFICKING",20.0236588466634
"KD","Claude","REACTOME_METABOLISM_OF_CARBOHYDRATES",-35.2979245453767
"KD","Claude","REACTOME_METABOLISM_OF_LIPIDS",-42.2176547421347
"KD","Claude","REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES",-26.4610835951881
"KD","Claude","REACTOME_MUSCLE_CONTRACTION",74.6361147504651
"KD","Claude","REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE",138.749893106143
"KD","Claude","REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",115.939139276083
"KD","Claude","REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING",162.603395456814
"KD","Claude","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT",-8.34056681427865
"KD","Claude","REACTOME_NEUTROPHIL_DEGRANULATION",106.54576509717
"KD","Claude","REACTOME_NOD1_2_SIGNALING_PATHWAY",88.0210504109904
"KD","Claude","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",20.572641859582
"KD","Claude","REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2",80.0715411013625
"KD","Claude","REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS",126.165328043725
"KD","Claude","REACTOME_ONCOGENIC_MAPK_SIGNALING",176.360664240727
"KD","Claude","REACTOME_OTHER_INTERLEUKIN_SIGNALING",96.4780493222352
"KD","Claude","REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES",126.629579628022
"KD","Claude","REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING",195.357040883214
"KD","Claude","REACTOME_PD_1_SIGNALING",101.23776779567
"KD","Claude","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",158.904725710398
"KD","Claude","REACTOME_PI3K_AKT_SIGNALING_IN_CANCER",41.4284719614314
"KD","Claude","REACTOME_PKR_MEDIATED_SIGNALING",156.058994567471
"KD","Claude","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",129.785190485639
"KD","Claude","REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION",187.912782053375
"KD","Claude","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",108.287960992312
"KD","Claude","REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS",179.142653382044
"KD","Claude","REACTOME_PROGRAMMED_CELL_DEATH",100.197048156557
"KD","Claude","REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION",228.896172948778
"KD","Claude","REACTOME_PYROPTOSIS",192.591064491087
"KD","Claude","REACTOME_REGULATED_NECROSIS",99.4474217309349
"KD","Claude","REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE",-38.6460525521467
"KD","Claude","REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING",245.848985890436
"KD","Claude","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",169.692588048894
"KD","Claude","REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND",210.301275150378
"KD","Claude","REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2",142.409375550561
"KD","Claude","REACTOME_RHO_GTPASE_CYCLE",-47.7609475809666
"KD","Claude","REACTOME_RHO_GTPASE_EFFECTORS",99.6403806121348
"KD","Claude","REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS",-49.3413052900624
"KD","Claude","REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1",206.584649369189
"KD","Claude","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION",66.5055985334476
"KD","Claude","REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES",213.558717963484
"KD","Claude","REACTOME_SARS_COV_1_HOST_INTERACTIONS",182.653459496505
"KD","Claude","REACTOME_SARS_COV_1_INFECTION",170.694576277963
"KD","Claude","REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES",176.666461456048
"KD","Claude","REACTOME_SARS_COV_2_HOST_INTERACTIONS",166.379089058997
"KD","Claude","REACTOME_SARS_COV_2_INFECTION",160.714124878696
"KD","Claude","REACTOME_SARS_COV_INFECTIONS",167.10584930501
"KD","Claude","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",241.954855003876
"KD","Claude","REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS",176.360664240727
"KD","Claude","REACTOME_SIGNALING_BY_CSF3_G_CSF",241.346780172133
"KD","Claude","REACTOME_SIGNALING_BY_GPCR",126.203941764828
"KD","Claude","REACTOME_SIGNALING_BY_INTERLEUKINS",181.884112107962
"KD","Claude","REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS",204.897960696907
"KD","Claude","REACTOME_SIGNALING_BY_NOTCH",34.3227505512991
"KD","Claude","REACTOME_SIGNALING_BY_NTRKS",103.868517805288
"KD","Claude","REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",59.4324822201796
"KD","Claude","REACTOME_SIGNALING_BY_PDGF",144.317222832252
"KD","Claude","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",118.288598960271
"KD","Claude","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3",42.2719509601926
"KD","Claude","REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS",46.0854995853855
"KD","Claude","REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",65.772445086731
"KD","Claude","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",97.2651985353882
"KD","Claude","REACTOME_SIGNALING_BY_VEGF",169.585947148953
"KD","Claude","REACTOME_STRIATED_MUSCLE_CONTRACTION",156.818622113194
"KD","Claude","REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION",139.351822252989
"KD","Claude","REACTOME_TCR_SIGNALING",138.067926485989
"KD","Claude","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",-22.6351670379528
"KD","Claude","REACTOME_THE_NLRP3_INFLAMMASOME",217.53817210493
"KD","Claude","REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY",77.2090563083358
"KD","Claude","REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING",84.9045184054287
"KD","Claude","REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY",118.15074167678
"KD","Claude","REACTOME_TNF_SIGNALING",68.0464420629365
"KD","Claude","REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",161.927907324248
"KD","Claude","REACTOME_TOLL_LIKE_RECEPTOR_CASCADES",172.689501743715
"KD","Claude","REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE",173.906106339795
"KD","Claude","REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX",152.535389823106
"KD","Claude","REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION",217.184017558025
"KD","Claude","REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION",203.845730572706
"KD","Claude","REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER",90.5902560597844
"KD","Claude","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1",85.3957299703644
"KD","Claude","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",10.5012991508297
"KD","Claude","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3",-14.062120453941
"KD","Claude","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53",52.6923624370063
"KD","Claude","REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION",175.188214743781
"KD","Claude","REACTOME_TRANSPORT_OF_SMALL_MOLECULES",-75.1999103895889
"KD","Claude","REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES",43.2525416896861
"KD","Claude","REACTOME_VESICLE_MEDIATED_TRANSPORT",11.6004870927519
"KD","Claude","REACTOME_VIRAL_INFECTION_PATHWAYS",156.27036552908
"KD","Claude","REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS",216.057203504907
"KD","Claude","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",83.9783349605387
"KD","Claude","GOBP_ACTIN_FILAMENT_BASED_PROCESS",70.2196096377561
"KD","Claude","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",-73.4137802472109
"KD","Claude","GOBP_ACTIN_FILAMENT_ORGANIZATION",14.2444664672307
"KD","Claude","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",83.9783349605387
"KD","Claude","GOBP_ACTIVATED_T_CELL_PROLIFERATION",132.229646123504
"KD","Claude","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",185.88556147089
"KD","Claude","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",122.186214780041
"KD","Claude","GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",141.117190602478
"KD","Claude","GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY",170.957430034781
"KD","Claude","GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION",45.1268785561838
"KD","Claude","GOBP_ACUTE_INFLAMMATORY_RESPONSE",145.861507978768
"KD","Claude","GOBP_ACUTE_PHASE_RESPONSE",129.717705530024
"KD","Claude","GOBP_ADAPTIVE_IMMUNE_RESPONSE",140.677314494789
"KD","Claude","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",143.724975081315
"KD","Claude","GOBP_ADAPTIVE_THERMOGENESIS",128.582392153753
"KD","Claude","GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",117.167917879905
"KD","Claude","GOBP_ALCOHOL_METABOLIC_PROCESS",60.5715503471739
"KD","Claude","GOBP_ALPHA_BETA_T_CELL_ACTIVATION",150.537449262248
"KD","Claude","GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION",148.667738443485
"KD","Claude","GOBP_ALPHA_BETA_T_CELL_PROLIFERATION",184.772313562483
"KD","Claude","GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION",112.511343365598
"KD","Claude","GOBP_AMIDE_BIOSYNTHETIC_PROCESS",71.7776266307086
"KD","Claude","GOBP_AMIDE_METABOLIC_PROCESS",84.0443099761974
"KD","Claude","GOBP_AMIDE_TRANSPORT",181.25942938098
"KD","Claude","GOBP_AMINOGLYCAN_METABOLIC_PROCESS",145.426470974043
"KD","Claude","GOBP_AMYLOID_BETA_CLEARANCE",203.878917108544
"KD","Claude","GOBP_AMYLOID_BETA_METABOLIC_PROCESS",149.738859439381
"KD","Claude","GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS",172.841050319515
"KD","Claude","GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS",172.841050319515
"KD","Claude","GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",115.840830066851
"KD","Claude","GOBP_ANATOMICAL_STRUCTURE_MATURATION",114.786718990875
"KD","Claude","GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING",181.739014888693
"KD","Claude","GOBP_ANIMAL_ORGAN_MORPHOGENESIS",79.6762333167062
"KD","Claude","GOBP_ANIMAL_ORGAN_REGENERATION",167.545187938119
"KD","Claude","GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION",-134.37537365057
"KD","Claude","GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE",84.7671119092835
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",80.5046275917743
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",13.7674516666722
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",64.2123796566085
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",64.2123796566085
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II",55.6393572712365
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",32.1578493351789
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I",-12.93289395745
"KD","Claude","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",83.1138506310066
"KD","Claude","GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",75.0503364941231
"KD","Claude","GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE",148.817719737617
"KD","Claude","GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",129.051711114898
"KD","Claude","GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",215.571177142929
"KD","Claude","GOBP_AORTA_DEVELOPMENT",-90.2686046675012
"KD","Claude","GOBP_AORTIC_VALVE_MORPHOGENESIS",55.7417746147
"KD","Claude","GOBP_APOPTOTIC_CELL_CLEARANCE",133.225974950585
"KD","Claude","GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES",29.7822530484791
"KD","Claude","GOBP_APOPTOTIC_PROCESS",120.822613647386
"KD","Claude","GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT",28.0910283261337
"KD","Claude","GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS",37.3688784987369
"KD","Claude","GOBP_APOPTOTIC_SIGNALING_PATHWAY",107.264324583566
"KD","Claude","GOBP_APPENDAGE_DEVELOPMENT",-88.059464363743
"KD","Claude","GOBP_APPENDAGE_MORPHOGENESIS",-99.6167831868423
"KD","Claude","GOBP_ARTERY_DEVELOPMENT",-0.439710748802838
"KD","Claude","GOBP_ARTERY_MORPHOGENESIS",21.7415791405425
"KD","Claude","GOBP_ASTROCYTE_DEVELOPMENT",277.206252660531
"KD","Claude","GOBP_ASTROCYTE_DIFFERENTIATION",244.363458925285
"KD","Claude","GOBP_AXON_DEVELOPMENT",30.2587982789186
"KD","Claude","GOBP_AXON_GUIDANCE",40.8810443358077
"KD","Claude","GOBP_BEHAVIOR",52.3629564082995
"KD","Claude","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST",64.6070277299484
"KD","Claude","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT",103.503401857364
"KD","Claude","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",169.454260911874
"KD","Claude","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION",81.8902386527606
"KD","Claude","GOBP_BIOMINERAL_TISSUE_DEVELOPMENT",58.2473645121154
"KD","Claude","GOBP_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION",199.555367564763
"KD","Claude","GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",129.16805689309
"KD","Claude","GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",113.275456339086
"KD","Claude","GOBP_BLOOD_VESSEL_MORPHOGENESIS",122.120718670636
"KD","Claude","GOBP_BLOOD_VESSEL_REMODELING",76.437393178102
"KD","Claude","GOBP_BODY_FLUID_SECRETION",162.991612361691
"KD","Claude","GOBP_BONE_DEVELOPMENT",-29.2204806361938
"KD","Claude","GOBP_BONE_MINERALIZATION",49.9557774236321
"KD","Claude","GOBP_BONE_MORPHOGENESIS",-39.5675142268594
"KD","Claude","GOBP_BONE_REMODELING",67.4725842213969
"KD","Claude","GOBP_BONE_RESORPTION",93.3192626514861
"KD","Claude","GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE",74.3270588089012
"KD","Claude","GOBP_B_CELL_ACTIVATION",103.279310103862
"KD","Claude","GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",158.266060396937
"KD","Claude","GOBP_B_CELL_DIFFERENTIATION",114.139417714333
"KD","Claude","GOBP_B_CELL_MEDIATED_IMMUNITY",116.117690330641
"KD","Claude","GOBP_B_CELL_PROLIFERATION",111.950715937608
"KD","Claude","GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",54.6827632104125
"KD","Claude","GOBP_CALCIUM_ION_HOMEOSTASIS",142.468277928619
"KD","Claude","GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL",98.0287853591965
"KD","Claude","GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT",106.467928650788
"KD","Claude","GOBP_CALCIUM_ION_TRANSPORT",119.474376822308
"KD","Claude","GOBP_CALCIUM_MEDIATED_SIGNALING",143.301443773303
"KD","Claude","GOBP_CAMERA_TYPE_EYE_MORPHOGENESIS",124.576533804235
"KD","Claude","GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",132.328031550935
"KD","Claude","GOBP_CANONICAL_WNT_SIGNALING_PATHWAY",35.3706595300543
"KD","Claude","GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS",33.7545846628896
"KD","Claude","GOBP_CARBOHYDRATE_CATABOLIC_PROCESS",16.9346362821378
"KD","Claude","GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS",159.903172743427
