"","Seed","FilledRows","Deviation","Model","Condition","PromptLength","CondPrompt"
"29","seed_29_all",206,6,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"30","seed_30_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"31","seed_31_all",203,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"32","seed_32_all",199,-1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"33","seed_33_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"34","seed_34_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"35","seed_35_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"36","seed_36_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"37","seed_37_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"38","seed_38_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"39","seed_39_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"40","seed_40_all",199,-1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"41","seed_41_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"42","seed_42_all",199,-1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"43","seed_43_all",202,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"44","seed_44_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"45","seed_45_all",203,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"46","seed_46_all",238,38,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"47","seed_47_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"48","seed_48_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"49","seed_49_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"50","seed_50_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"51","seed_51_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"52","seed_52_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"53","seed_53_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"54","seed_54_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"55","seed_55_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"56","seed_56_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"57","seed_57_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"58","seed_58_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"59","seed_59_all",201,1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"60","seed_60_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"61","seed_61_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"62","seed_62_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"63","seed_63_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"64","seed_64_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"65","seed_65_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"66","seed_66_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"67","seed_67_all",198,-2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"68","seed_68_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"69","seed_69_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"70","seed_70_all",221,21,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"71","seed_71_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"72","seed_72_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"73","seed_73_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"74","seed_74_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"75","seed_75_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"76","seed_76_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"77","seed_77_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"78","seed_78_all",198,-2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"79","seed_79_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"80","seed_80_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"81","seed_81_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"82","seed_82_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"83","seed_83_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"84","seed_84_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"85","seed_85_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"86","seed_86_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"87","seed_87_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"88","seed_88_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"89","seed_89_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"90","seed_90_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"91","seed_91_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"92","seed_92_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"93","seed_93_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"94","seed_94_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"95","seed_95_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"96","seed_96_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"97","seed_97_all",203,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"98","seed_98_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"99","seed_99_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"100","seed_100_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"101","seed_1_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"102","seed_2_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"103","seed_3_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"104","seed_4_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"105","seed_5_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"106","seed_6_all",203,3,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"107","seed_7_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"108","seed_8_all",227,27,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"109","seed_9_all",217,17,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"110","seed_10_all",210,10,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"111","seed_11_all",214,14,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"112","seed_12_all",199,-1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"113","seed_13_all",201,1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"114","seed_14_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"115","seed_15_all",223,23,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"116","seed_16_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"117","seed_17_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"118","seed_18_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"119","seed_19_all",208,8,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"120","seed_20_all",203,3,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"121","seed_21_all",202,2,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"122","seed_22_all",190,-10,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"123","seed_23_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"124","seed_24_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"125","seed_25_all",201,1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"126","seed_26_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"127","seed_27_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"128","seed_28_all",204,4,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"129","seed_29_all",194,-6,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"130","seed_30_all",201,1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"131","seed_31_all",198,-2,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"132","seed_32_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"133","seed_33_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"134","seed_34_all",203,3,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"135","seed_35_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"136","seed_36_all",204,4,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"137","seed_37_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"138","seed_38_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"139","seed_39_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"140","seed_40_all",196,-4,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"141","seed_41_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"142","seed_42_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"143","seed_43_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"144","seed_44_all",201,1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"145","seed_45_all",201,1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"146","seed_46_all",208,8,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"147","seed_47_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"148","seed_48_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"149","seed_49_all",226,26,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"150","seed_50_all",194,-6,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"151","seed_51_all",214,14,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"152","seed_52_all",215,15,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"153","seed_53_all",209,9,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"154","seed_54_all",202,2,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"155","seed_55_all",201,1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"156","seed_56_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"157","seed_57_all",224,24,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"158","seed_58_all",194,-6,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"159","seed_59_all",204,4,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"160","seed_60_all",213,13,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"161","seed_61_all",207,7,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"162","seed_62_all",206,6,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"163","seed_63_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"164","seed_64_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"165","seed_65_all",207,7,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"166","seed_66_all",203,3,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"167","seed_67_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"168","seed_68_all",218,18,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"169","seed_69_all",211,11,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"170","seed_70_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"171","seed_71_all",218,18,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"172","seed_72_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"173","seed_73_all",211,11,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"174","seed_74_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"175","seed_75_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"176","seed_76_all",218,18,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"177","seed_77_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"178","seed_78_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"179","seed_79_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"180","seed_80_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"181","seed_81_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"182","seed_82_all",210,10,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"183","seed_83_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"184","seed_84_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"185","seed_85_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"186","seed_86_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"187","seed_87_all",212,12,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"188","seed_88_all",208,8,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"189","seed_89_all",199,-1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"190","seed_90_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"191","seed_91_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"192","seed_92_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"193","seed_93_all",202,2,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"194","seed_94_all",192,-8,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"195","seed_95_all",203,3,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"196","seed_96_all",199,-1,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"197","seed_97_all",206,6,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"198","seed_98_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"199","seed_99_all",200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"200","seed_100_all",210,10,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"201","seed_1_all",285,85,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"202","seed_2_all",289,89,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"203","seed_3_all",291,91,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"204","seed_4_all",197,-3,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"205","seed_5_all",215,15,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"206","seed_6_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"207","seed_7_all",216,16,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"208","seed_8_all",208,8,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"209","seed_9_all",186,-14,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"210","seed_10_all",222,22,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"211","seed_11_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"212","seed_12_all",178,-22,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"213","seed_13_all",232,32,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"214","seed_14_all",194,-6,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"215","seed_15_all",185,-15,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"216","seed_16_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"217","seed_17_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"218","seed_18_all",201,1,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"219","seed_19_all",170,-30,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"220","seed_20_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"221","seed_21_all",201,1,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"222","seed_22_all",165,-35,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"223","seed_23_all",196,-4,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"224","seed_24_all",192,-8,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"225","seed_25_all",231,31,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"226","seed_26_all",206,6,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"227","seed_27_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"228","seed_28_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"229","seed_29_all",198,-2,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"230","seed_30_all",202,2,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"231","seed_31_all",165,-35,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"232","seed_32_all",214,14,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"233","seed_33_all",216,16,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"234","seed_34_all",205,5,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"235","seed_35_all",366,166,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"236","seed_36_all",225,25,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"237","seed_37_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"238","seed_38_all",203,3,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"239","seed_39_all",218,18,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"240","seed_40_all",203,3,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"241","seed_41_all",6249,6049,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"242","seed_42_all",213,13,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"243","seed_43_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"244","seed_44_all",192,-8,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"245","seed_45_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"246","seed_46_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"247","seed_47_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"248","seed_48_all",192,-8,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"249","seed_49_all",194,-6,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"250","seed_50_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"251","seed_51_all",190,-10,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"252","seed_52_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"253","seed_53_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"254","seed_54_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"255","seed_55_all",212,12,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"256","seed_56_all",114,-86,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"257","seed_57_all",211,11,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"258","seed_58_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"259","seed_59_all",195,-5,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"260","seed_60_all",222,22,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"261","seed_61_all",191,-9,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"262","seed_62_all",189,-11,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"263","seed_63_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"264","seed_64_all",223,23,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"265","seed_65_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"266","seed_66_all",200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"267","seed_67_all",221,21,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"268","seed_68_all",194,-6,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"269","seed_69_all",205,5,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"270","seed_70_all",179,-21,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"271","seed_71_all",274,74,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"272","seed_72_all",191,-9,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"273","seed_73_all",199,-1,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"274","seed_74_all",193,-7,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"275","seed_75_all",182,-18,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"276","seed_76_all",223,23,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"277","seed_77_all",197,-3,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"278","seed_78_all",251,51,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
