"Disease","ML_Model","Comparison","N_1","N_2","t_statistic","df","P_value","P_formatted","Significance","Test"
"ME/CFS","GLMNETLasso","ChatGPT o3 Short vs ChatGPT o3 Long",94,83,2.24318971092935,174.321859596685,0.0261440046465531,"0.026","*","t.test"
"ME/CFS","GLMNETLasso","Claude Opus4 Short vs Claude Opus4 Long",92,84,1.30946352166152,173.989181958974,0.19210392946955,"0.192","ns","t.test"
"ME/CFS","GLMNETLasso","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",89,85,-1.17364864442515,169.838570858018,0.242179008926009,"0.242","ns","t.test"
"ME/CFS","GLMNETRidge","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,1.2207125305689,196.531038528962,0.223657434315949,"0.224","ns","t.test"
"ME/CFS","GLMNETRidge","Claude Opus4 Short vs Claude Opus4 Long",100,100,1.66262366988364,197.829986146018,0.0979713356270628,"0.098","ns","t.test"
"ME/CFS","GLMNETRidge","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",100,100,-0.784948189804422,197.984644125559,0.433422199175007,"0.433","ns","t.test"
"ME/CFS","NNET","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,1.6224751293413,184.88162842317,0.106405634106539,"0.106","ns","t.test"
"ME/CFS","NNET","Claude Opus4 Short vs Claude Opus4 Long",100,100,-0.347059165606969,197.873888105679,0.728915702188902,"0.729","ns","t.test"
"ME/CFS","NNET","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",100,100,0.0663194800953187,196.978139506861,0.947190737424135,"0.947","ns","t.test"
"ME/CFS","RF","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,0.469658394356927,196.106594556325,0.639120895816656,"0.639","ns","t.test"
"ME/CFS","RF","Claude Opus4 Short vs Claude Opus4 Long",100,100,-1.75928665827727,196.295881235258,0.0800867609416919,"0.080","ns","t.test"
"ME/CFS","RF","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",100,100,-1.83830979269251,197.093991242973,0.0675217738231688,"0.068","ns","t.test"
