"","Disease","ML_Model",".y.","group1","group2","p","p.adj","p.format","p.signif","method","n1","n2","t","df","y.position"
"25","ME/CFS","RF","AUC","Claude 3.7 Sonnet","Claude Opus4",0.132242638185297,0.233099060578384,"0.13224","ns","T-test",100,100,-1.5115902037427,196.74825397054,0.929943977591036
"26","TB","EXTRATREES","AUC","Claude 3.7 Sonnet","Claude Opus4",0.00719910923007563,0.0179977730751891,"0.00720","*","T-test",100,100,2.71714939019394,188.188973562883,1.04802197802198
"27","TB","GLMNETLasso","AUC","Claude 3.7 Sonnet","Claude Opus4",0.0189254214879172,0.0425821983478137,"0.01893","*","T-test",100,100,2.36684232916629,193.976914454113,1.05443223443223
"28","TB","GLMNETRidge","AUC","Claude 3.7 Sonnet","Claude Opus4",0.000165852227235431,0.000574103863507262,"0.00017","***","T-test",100,100,3.8434267676348,188.116504919154,1.04893772893773
"29","TB","NNET","AUC","Claude 3.7 Sonnet","Claude Opus4",0.000131593635830268,0.000493476134363507,"0.00013","***","T-test",100,100,3.90665500205353,182.910738410286,1.04710622710623
"30","TB","RF","AUC","Claude 3.7 Sonnet","Claude Opus4",0.00588638657772534,0.0155816115292729,"0.00589","*","T-test",100,100,2.78608991265266,186.438930980599,1.04344322344322
"31","KD/MIS-C","EXTRATREES","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.759092383944247,0.926786838730865,"0.759","ns","T-test",100,100,0.307097145915171,197.869780373128,1.06411764705882
"32","KD/MIS-C","GLMNETLasso","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.221125054759275,0.355379552291692,"0.221","ns","T-test",100,100,-1.22741855312774,197.669526409426,1.06019607843137
"33","KD/MIS-C","GLMNETRidge","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.145679700615702,0.24279950102617,"0.146","ns","T-test",100,100,-1.46071727674975,197.794434395054,1.06411764705882
"34","KD/MIS-C","NNET","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.819515050214698,0.967865794121696,"0.820","ns","T-test",100,100,-0.228490935753788,186.419503035965,1.04843137254902
"35","KD/MIS-C","RF","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.980224933711653,0.980224933711653,"0.980","ns","T-test",100,100,0.0248182444584811,197.994455196806,1.0621568627451
"36","ME/CFS","EXTRATREES","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.0624009719907492,0.12763835179926,"0.062","ns","T-test",100,100,-1.87421203190914,194.44891578324,0.938347338935574
"37","ME/CFS","GLMNETLasso","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.909962779161204,0.979983912805729,"0.910","ns","T-test",88,85,0.113253285643622,170.771622775667,0.91593837535014
"38","ME/CFS","GLMNETRidge","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.25326013899192,0.392989870849531,"0.253","ns","T-test",100,100,-1.1458161282837,197.151097416608,0.887927170868347
"39","ME/CFS","NNET","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.128738784365767,0.233099060578384,"0.129","ns","T-test",100,100,-1.52546609502222,197.977845541867,0.851512605042017
"40","ME/CFS","RF","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",0.132375511661748,0.233099060578384,"0.132","ns","T-test",100,100,-1.51102843855532,197.998405266017,0.929943977591036
"41","TB","EXTRATREES","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",1.13565928935723e-09,5.67829644678616e-09,"1.1e-09","****","T-test",100,100,-6.39653849821528,196.602537735086,1.04802197802198
"42","TB","GLMNETLasso","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",5.67120144800707e-10,3.19005081450398e-09,"5.7e-10","****","T-test",99,100,-6.52886918048636,193.791510814143,1.05443223443223
"43","TB","GLMNETRidge","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",6.96149098210392e-14,7.83167735486691e-13,"7.0e-14","****","T-test",100,100,-8.0776859698872,193.326241526707,1.04893772893773
"44","TB","NNET","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",2.55781287296928e-15,5.75507896418087e-14,"2.6e-15","****","T-test",100,100,-8.61421339811617,191.985833908988,1.04710622710623
"45","TB","RF","AUC","Gemini Advanced 2.0 Flash","Gemini 2.5 Pro",2.37084521535431e-08,1.06688034690944e-07,"2.4e-08","****","T-test",100,100,-5.82330585577406,193.288141680064,1.04344322344322
