"","Seed","OffList","Filled","OffPct","Model","Condition","PromptLength","CondPrompt"
"66","seed_66_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"67","seed_67_all",5,198,2.52525252525253,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"68","seed_68_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"69","seed_69_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"70","seed_70_all",1,221,0.452488687782805,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"71","seed_71_all",9,200,4.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"72","seed_72_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"73","seed_73_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"74","seed_74_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"75","seed_75_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"76","seed_76_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"77","seed_77_all",8,200,4,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"78","seed_78_all",0,198,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"79","seed_79_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"80","seed_80_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"81","seed_81_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"82","seed_82_all",2,200,1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"83","seed_83_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"84","seed_84_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"85","seed_85_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"86","seed_86_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"87","seed_87_all",8,200,4,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"88","seed_88_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"89","seed_89_all",8,200,4,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"90","seed_90_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"91","seed_91_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"92","seed_92_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"93","seed_93_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"94","seed_94_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"95","seed_95_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"96","seed_96_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"97","seed_97_all",3,203,1.47783251231527,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"98","seed_98_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"99","seed_99_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"100","seed_100_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"101","seed_1_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"102","seed_2_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"103","seed_3_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"104","seed_4_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"105","seed_5_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"106","seed_6_all",14,203,6.89655172413793,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"107","seed_7_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"108","seed_8_all",35,227,15.4185022026432,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"109","seed_9_all",6,217,2.76497695852535,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"110","seed_10_all",13,210,6.19047619047619,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"111","seed_11_all",8,214,3.73831775700935,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"112","seed_12_all",0,199,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"113","seed_13_all",1,201,0.497512437810945,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"114","seed_14_all",11,200,5.5,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"115","seed_15_all",0,223,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"116","seed_16_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"117","seed_17_all",4,200,2,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"118","seed_18_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"119","seed_19_all",17,208,8.17307692307692,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"120","seed_20_all",8,203,3.94088669950739,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"121","seed_21_all",15,202,7.42574257425743,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"122","seed_22_all",11,190,5.78947368421053,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"123","seed_23_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"124","seed_24_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"125","seed_25_all",6,201,2.98507462686567,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"126","seed_26_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"127","seed_27_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"128","seed_28_all",16,204,7.84313725490196,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"129","seed_29_all",11,194,5.67010309278351,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"130","seed_30_all",42,201,20.8955223880597,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"131","seed_31_all",15,198,7.57575757575758,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"132","seed_32_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"133","seed_33_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"134","seed_34_all",8,203,3.94088669950739,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"135","seed_35_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"136","seed_36_all",15,204,7.35294117647059,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"137","seed_37_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"138","seed_38_all",13,200,6.5,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"139","seed_39_all",7,200,3.5,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"140","seed_40_all",12,196,6.12244897959184,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"141","seed_41_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"142","seed_42_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"143","seed_43_all",7,200,3.5,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"144","seed_44_all",26,201,12.9353233830846,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"145","seed_45_all",0,201,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"146","seed_46_all",9,208,4.32692307692308,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"147","seed_47_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"148","seed_48_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"149","seed_49_all",23,226,10.1769911504425,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"150","seed_50_all",27,194,13.9175257731959,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"151","seed_51_all",15,214,7.00934579439252,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"152","seed_52_all",16,215,7.44186046511628,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"153","seed_53_all",14,209,6.69856459330144,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"154","seed_54_all",12,202,5.94059405940594,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"155","seed_55_all",0,201,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"156","seed_56_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"157","seed_57_all",23,224,10.2678571428571,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"158","seed_58_all",12,194,6.18556701030928,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"159","seed_59_all",16,204,7.84313725490196,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"160","seed_60_all",23,213,10.7981220657277,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"161","seed_61_all",19,207,9.17874396135266,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"162","seed_62_all",4,206,1.94174757281553,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"163","seed_63_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"164","seed_64_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"165","seed_65_all",15,207,7.2463768115942,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"166","seed_66_all",17,203,8.3743842364532,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"167","seed_67_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"168","seed_68_all",12,218,5.5045871559633,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"169","seed_69_all",20,211,9.47867298578199,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"170","seed_70_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"171","seed_71_all",9,218,4.12844036697248,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"172","seed_72_all",10,200,5,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"173","seed_73_all",1,211,0.4739336492891,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"174","seed_74_all",14,200,7,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"175","seed_75_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"176","seed_76_all",40,218,18.348623853211,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"177","seed_77_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"178","seed_78_all",7,200,3.5,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"179","seed_79_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"180","seed_80_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"181","seed_81_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"182","seed_82_all",21,210,10,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"183","seed_83_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"184","seed_84_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"185","seed_85_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"186","seed_86_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"187","seed_87_all",13,212,6.13207547169811,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"188","seed_88_all",24,208,11.5384615384615,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"189","seed_89_all",12,199,6.03015075376884,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"190","seed_90_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"191","seed_91_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"192","seed_92_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"193","seed_93_all",41,202,20.2970297029703,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"194","seed_94_all",19,192,9.89583333333333,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"195","seed_95_all",13,203,6.40394088669951,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"196","seed_96_all",10,199,5.0251256281407,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"197","seed_97_all",18,206,8.7378640776699,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"198","seed_98_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"199","seed_99_all",0,200,0,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"200","seed_100_all",35,210,16.6666666666667,"Claude Opus4","KD/MIS-C","Long","KD/MIS-C · Long"
"201","seed_1_all",14,285,4.91228070175439,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"202","seed_2_all",6,289,2.07612456747405,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"203","seed_3_all",6,291,2.06185567010309,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"204","seed_4_all",9,197,4.56852791878173,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"205","seed_5_all",8,215,3.72093023255814,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"206","seed_6_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"207","seed_7_all",9,216,4.16666666666667,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"208","seed_8_all",7,208,3.36538461538462,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"209","seed_9_all",0,186,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"210","seed_10_all",13,222,5.85585585585586,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"211","seed_11_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"212","seed_12_all",0,178,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"213","seed_13_all",8,232,3.44827586206897,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"214","seed_14_all",9,194,4.63917525773196,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"215","seed_15_all",6,185,3.24324324324324,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"216","seed_16_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"217","seed_17_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"218","seed_18_all",12,201,5.97014925373134,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"219","seed_19_all",0,170,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"220","seed_20_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"221","seed_21_all",0,201,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"222","seed_22_all",0,165,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"223","seed_23_all",2,196,1.02040816326531,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"224","seed_24_all",0,192,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"225","seed_25_all",7,231,3.03030303030303,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"226","seed_26_all",12,206,5.8252427184466,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"227","seed_27_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"228","seed_28_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"229","seed_29_all",6,198,3.03030303030303,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"230","seed_30_all",7,202,3.46534653465347,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"231","seed_31_all",0,165,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"232","seed_32_all",7,214,3.27102803738318,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"233","seed_33_all",7,216,3.24074074074074,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"234","seed_34_all",8,205,3.90243902439024,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"235","seed_35_all",12,366,3.27868852459016,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"236","seed_36_all",17,225,7.55555555555556,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"237","seed_37_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"238","seed_38_all",9,203,4.43349753694581,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"239","seed_39_all",10,218,4.58715596330275,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"240","seed_40_all",4,203,1.97044334975369,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"241","seed_41_all",267,6249,4.2726836293807,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"242","seed_42_all",8,213,3.75586854460094,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"243","seed_43_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"244","seed_44_all",7,192,3.64583333333333,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"245","seed_45_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"246","seed_46_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"247","seed_47_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"248","seed_48_all",0,192,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"249","seed_49_all",0,194,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"250","seed_50_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"251","seed_51_all",9,190,4.73684210526316,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"252","seed_52_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"253","seed_53_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"254","seed_54_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"255","seed_55_all",7,212,3.30188679245283,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"256","seed_56_all",0,114,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"257","seed_57_all",9,211,4.2654028436019,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
"258","seed_58_all",0,200,0,"Gemini 2.5 Pro","KD/MIS-C","Long","KD/MIS-C · Long"
